Date,CL=F,COP,CVX,LMT,NOC,RTX,XOM
2026-01-02,57.31999969482422,95.24544525146484,152.9884490966797,491.2481384277344,581.2321166992188,185.85595703125,121.01651000976562
2026-01-05,58.31999969482422,97.70783996582031,160.7899932861328,505.57830810546875,606.6981811523438,186.85841369628906,123.69041442871094
2026-01-06,57.130001068115234,95.64927673339844,153.6165008544922,515.9256591796875,605.9934692382812,188.98248291015625,119.43782806396484
2026-01-07,55.9900016784668,92.52696990966797,152.30152893066406,491.05047607421875,572.6475830078125,184.3472442626953,116.91191101074219
2026-01-08,57.7599983215332,97.23506927490234,156.27587890625,512.3678588867188,586.3233642578125,185.7765350341797,121.2730484008789
2026-01-09,59.119998931884766,96.04326629638672,159.08248901367188,536.5610961914062,614.1414794921875,187.0966339111328,122.95040893554688
2026-01-12,59.5,94.0634994506836,159.30816650390625,544.78369140625,624.56201171875,192.4068145751953,122.37812805175781
2026-01-13,61.150001525878906,95.0090560913086,160.80960083007812,551.760986328125,620.7709350585938,192.63510131835938,124.85469818115234
2026-01-14,62.02000045776367,98.8306884765625,164.11668395996094,565.9923706054688,648.2019653320312,197.35964965820312,128.4659423828125
2026-01-15,59.189998626708984,97.44190979003906,163.0568389892578,571.12158203125,649.660888671875,198.34228515625,127.41021728515625
2026-01-16,59.439998626708984,96.7130355834961,163.15496826171875,575.6083374023438,661.8579711914062,200.41673278808594,128.1600799560547
2026-01-20,60.34000015258789,94.08319854736328,162.21290588378906,569.31298828125,652.3305053710938,194.8981170654297,128.72250366210938
2026-01-21,60.619998931884766,95.68868255615234,163.61618041992188,579.3638305664062,659.1386108398438,196.02963256835938,131.83055114746094
2026-01-22,59.36000061035156,95.42273712158203,163.54751586914062,586.9539184570312,665.3712158203125,194.87826538085938,131.8601531982422
2026-01-23,61.06999969482422,96.8706283569336,163.60638427734375,583.9000854492188,667.8621826171875,194.4713134765625,133.1724395751953
2026-01-26,60.630001068115234,96.96912384033203,164.37181091308594,574.8473510742188,655.9727172851562,192.68472290039062,133.04415893554688
2026-01-27,62.38999938964844,98.36776733398438,165.8928680419922,587.9817504882812,673.6083984375,199.781494140625,135.0076446533203
2026-01-28,63.209999084472656,99.86489868164062,166.7564239501953,590.2745971679688,683.9198608398438,197.9750518798828,135.74766540527344
2026-01-29,65.41999816894531,101.25369262695312,167.99290466308594,615.2189331054688,690.0928344726562,198.39190673828125,138.63864135742188
2026-01-30,65.20999908447266,102.66218566894531,173.5962677001953,626.791748046875,687.0261840820312,199.43409729003906,139.51678466796875
2026-02-02,62.13999938964844,100.25888061523438,170.7798614501953,628.5509033203125,679.8409423828125,199.59291076660156,136.55673217773438
2026-02-03,63.209999084472656,103.33196258544922,174.7149658203125,620.9015502929688,699.6500244140625,201.98497009277344,141.8157501220703
2026-02-04,65.13999938964844,105.97163391113281,177.8453826904297,595.7003173828125,684.53515625,195.27529907226562,145.6243438720703
2026-02-05,63.290000915527344,103.4009017944336,175.8827362060547,602.0450439453125,691.234130859375,194.5110321044922,144.1344757080078
2026-02-06,63.54999923706055,106.00119018554688,177.4822998046875,616.2764282226562,703.748779296875,197.18099975585938,147.06491088867188
2026-02-09,64.36000061035156,107.06494140625,179.1898193359375,630.8140869140625,692.74267578125,194.72938537597656,149.19613647460938
2026-02-10,63.959999084472656,105.88299560546875,178.8561553955078,622.1864013671875,679.8211059570312,193.73683166503906,149.57107543945312
2026-02-11,64.62999725341797,109.53718566894531,182.34967041015625,621.33642578125,673.69775390625,195.04701232910156,153.4882049560547
2026-02-12,62.84000015258789,109.16291046142578,178.99354553222656,629.9641723632812,689.8050537109375,199.6425323486328,148.91920471191406
2026-02-13,62.88999938964844,109.7538833618164,180.30853271484375,644.936767578125,697.2582397460938,198.57057189941406,147.44918823242188
2026-02-17,62.33000183105469,107.14374542236328,178.91131591796875,641.9718627929688,695.8192138671875,201.98497009277344,145.20443725585938
2026-02-18,65.19000244140625,109.70470428466797,182.20118713378906,642.19921875,719.3499755859375,203.28521728515625,149.66415405273438
2026-02-19,66.43000030517578,110.76681518554688,183.10292053222656,658.7035522460938,731.2989501953125,203.88075256347656,149.95220947265625
2026-02-20,66.38999938964844,109.71463775634766,182.26063537597656,650.5501708984375,718.0895385742188,204.0699462890625,146.28707885742188
2026-02-23,66.30999755859375,109.06942749023438,183.23175048828125,652.882568359375,722.21142578125,201.0823974609375,149.74362182617188
2026-02-24,65.62999725341797,109.7741928100586,183.6578369140625,656.64794921875,724.5411376953125,197.6367645263672,148.25372314453125
2026-02-25,65.41999816894531,109.19847869873047,182.54800415039062,639.916259765625,700.5667114257812,195.1670379638672,148.05508422851562
2026-02-26,65.20999908447266,109.88337707519531,182.48855590820312,634.1150512695312,707.784912109375,196.81019592285156,147.53857421875
2026-02-27,67.0199966430664,112.6230239868164,185.06495666503906,650.3723754882812,721.2058715820312,201.7794952392578,151.47189331054688
2026-03-02,71.2300033569336,117.36775970458984,187.87918090820312,672.2987670898438,764.6546630859375,211.27992248535156,153.1802978515625
2026-03-03,74.55999755859375,117.64569091796875,187.0567169189453,663.4765625,755.7836303710938,205.66331481933594,150.80641174316406
2026-03-04,74.66000366210938,114.79686737060547,184.34158325195312,660.1582641601562,750.5368041992188,207.9537811279297,148.80996704101562
2026-03-05,81.01000213623047,115.95823669433594,188.17645263671875,650.7399291992188,736.767333984375,203.0143585205078,149.74362182617188
2026-03-06,90.9000015258789,116.20639038085938,188.21609497070312,667.40087890625,752.8167114257812,208.88987731933594,150.1905975341797
2026-03-09,94.7699966430664,116.16668701171875,187.7206268310547,659.8304443359375,744.0652465820312,207.36622619628906,149.42578125
2026-03-10,83.44999694824219,113.30793762207031,184.59921264648438,646.9844970703125,731.7593994140625,206.14132690429688,147.13136291503906
2026-03-11,87.25,116.16668701171875,190.04930114746094,645.245849609375,729.96728515625,206.40023803710938,150.55809020996094
2026-03-12,95.7300033569336,119.37286376953125,195.1822967529297,648.5840454101562,733.0736083984375,202.19773864746094,152.4949493408203
2026-03-13,98.70999908447266,120.99083709716797,195.03366088867188,641.7984619140625,730.4949951171875,203.67161560058594,155.06747436523438
2026-03-16,93.5,120.42504119873047,195.053466796875,641.003662109375,732.735107421875,205.20521545410156,156.1699981689453
2026-03-17,96.20999908447266,121.96360778808594,196.1732177734375,632.1913452148438,720.857421875,202.48655700683594,157.73934936523438
2026-03-18,96.31999969482422,122.73785400390625,196.80740356445312,638.1026611328125,721.6638793945312,203.71144104003906,156.52757263183594
2026-03-19,96.13999938964844,125.09036254882812,199.61172485351562,633.3637084960938,711.0206909179688,199.89732360839844,157.09373474121094
2026-03-20,98.31999969482422,125.98372650146484,199.89907836914062,623.3492431640625,703.8522338867188,197.33799743652344,158.5935516357422
2026-03-23,88.12999725341797,126.25173950195312,203.34750366210938,612.241943359375,677.0203247070312,194.01185607910156,160.04371643066406
2026-03-24,92.3499984741211,128.39581298828125,204.9131622314453,606.2014770507812,679.1708374023438,193.19525146484375,164.2650604248047
2026-03-25,90.31999969482422,127.97889709472656,203.2880401611328,620.1402587890625,688.1812133789062,194.19110107421875,162.1593475341797
2026-03-26,94.4800033569336,132.26702880859375,205.90408325195312,623.2498779296875,688.957763671875,192.05003356933594,164.31471252441406
