Date,XOM,CVX,COP,LMT,RTX,NOC,WTI_Crude
1990-06-01,3.605367660522461,4.517246246337891,3.1081297397613525,4.154048919677734,2.1094977855682373,3.3332746028900146,17.51
1990-06-04,3.6431188583374023,4.574118137359619,3.137450933456421,4.271064281463623,2.136202096939087,3.3332746028900146,17.09
1990-06-05,3.6431188583374023,4.574118137359619,3.137450933456421,4.212558746337891,2.1272997856140137,3.3332746028900146,16.41
1990-06-06,3.6148054599761963,4.517246246337891,3.0788073539733887,4.197930335998535,2.136202096939087,3.3802223205566406,16.91
1990-06-07,3.5959291458129883,4.53349494934082,3.137450933456421,4.197930335998535,2.1094977855682373,3.3567471504211426,16.65
1990-06-08,3.5487375259399414,4.517246246337891,3.06414532661438,4.124794960021973,2.0649945735931396,3.3098011016845703,16.78
1990-06-11,3.6148054599761963,4.5903639793396,3.1227915287017822,4.168676376342773,2.078346014022827,3.3567471504211426,16.82
1990-06-12,3.6903114318847656,4.622866153717041,3.1081297397613525,4.154048919677734,2.1228487491607666,3.403695821762085,17.39
1990-06-13,3.6336798667907715,4.606612205505371,3.1081297397613525,4.139422416687012,2.1272997856140137,3.45064377784729,17.6
1990-06-14,3.6336798667907715,4.582242488861084,3.093467950820923,4.124794960021973,2.136202096939087,3.638432741165161,17.11
1990-06-15,3.6148054599761963,4.67973518371582,3.0348262786865234,4.154048919677734,2.1451025009155273,3.544537305831909,16.64
1990-06-18,3.586491584777832,4.61474084854126,3.0055034160614014,4.124794960021973,2.0961477756500244,3.544537305831909,15.92
1990-06-19,3.5770506858825684,4.655364513397217,2.9908406734466553,4.124794960021973,2.1094977855682373,3.6853787899017334,15.55
1990-06-20,3.6148054599761963,4.606612205505371,3.0348262786865234,4.154048919677734,2.1272997856140137,3.7088539600372314,15.43
1990-06-21,3.671433448791504,4.574118137359619,2.9761810302734375,4.124794960021973,2.1406517028808594,3.7088539600372314,16.09
1990-06-22,3.6148054599761963,4.53349494934082,2.9321978092193604,4.080914497375488,2.0649945735931396,3.544537305831909,16.5
1990-06-25,3.5676157474517822,4.476620674133301,2.9175360202789307,4.022408485412598,2.056094169616699,3.3802223205566406,16.15
1990-06-26,3.5487375259399414,4.403502941131592,2.9908406734466553,3.9785268306732178,2.0649945735931396,3.427168846130371,17.12
1990-06-27,3.624244451522827,4.53349494934082,3.0788073539733887,3.9785268306732178,2.06054425239563,3.474116802215576,16.7
1990-06-28,3.6431188583374023,4.541618347167969,3.06414532661438,3.9346468448638916,2.0471928119659424,3.544537305831909,17.18
1990-06-29,3.6148054599761963,4.574118137359619,3.0201621055603027,3.9200191497802734,2.0382912158966064,3.474116802215576,17.05
1990-07-02,3.605367660522461,4.582242488861084,3.0494866371154785,3.8907666206359863,2.0471928119659424,3.427168846130371,16.94
1990-07-03,3.5770506858825684,4.574118137359619,3.093467950820923,3.832256555557251,2.06054425239563,3.474116802215576,16.73
1990-07-05,3.5298609733581543,4.53349494934082,3.0494866371154785,3.759124517440796,2.024939775466919,3.3332746028900146,16.5
1990-07-06,3.605367660522461,4.53349494934082,3.06414532661438,3.8030028343200684,2.0471928119659424,3.3567471504211426,16.49
1990-07-09,3.5770506858825684,4.525371074676514,3.0201621055603027,3.7298688888549805,2.0694453716278076,3.3567471504211426,16.63
1990-07-10,3.5298609733581543,4.509121417999268,3.0494866371154785,3.6567327976226807,2.0382912158966064,3.3567471504211426,17.05
1990-07-11,3.6148054599761963,4.61474084854126,3.1814332008361816,3.6713624000549316,2.0382912158966064,3.403695821762085,17.45
1990-07-12,3.7186245918273926,4.801606178283691,3.2694003582000732,3.7006142139434814,2.073895215988159,3.403695821762085,18.69
1990-07-13,3.6808700561523438,4.809730529785156,3.298720598220825,3.6421074867248535,2.0961477756500244,3.3802223205566406,18.37
1990-07-16,3.6808700561523438,4.8665971755981445,3.342705488204956,3.7006142139434814,2.1495516300201416,3.427168846130371,18.67
1990-07-17,3.671433448791504,4.931595802307129,3.3133838176727295,3.759124517440796,2.207406997680664,3.3802223205566406,18.23
1990-07-18,3.6619932651519775,4.890972137451172,3.2254178524017334,3.685988664627075,2.1540021896362305,3.4975900650024414,18.57
1990-07-19,3.775251865386963,4.988467216491699,3.3720266819000244,3.7152421474456787,2.1451025009155273,3.3802223205566406,19.07
1990-07-20,3.671433448791504,5.037217140197754,3.328043222427368,3.7006142139434814,2.1540021896362305,3.3567471504211426,19.61
1990-07-23,3.6148054599761963,4.996592998504639,3.298720598220825,3.5543456077575684,2.131751775741577,3.192429780960083,19.88
1990-07-24,3.775251865386963,5.118460178375244,3.3720266819000244,3.4080774784088135,2.118399143218994,3.192429780960083,19.84
1990-07-25,3.7469382286071777,5.053466320037842,3.342705488204956,3.0862843990325928,2.1050503253936768,3.0750627517700195,19.33
1990-07-26,3.6903114318847656,5.00471830368042,3.284060478210449,3.188673257827759,2.1050503253936768,2.9107460975646973,20.33
1990-07-27,3.7186245918273926,5.020967483520508,3.2694003582000732,3.1594185829162598,2.118399143218994,2.652534008026123,20.07
1990-07-30,3.831881523132324,5.134712219238281,3.3433682918548584,3.2618069648742676,2.1228487491607666,2.652534008026123,20.24
1990-07-31,3.9168264865875244,5.2101945877075195,3.4173357486724854,3.217926263809204,2.1094977855682373,2.69948148727417,20.57
1990-08-01,3.935702085494995,5.16917085647583,3.4025447368621826,3.2032978534698486,2.082796335220337,2.6760077476501465,21.59
1990-08-02,4.020645618438721,5.275835990905762,3.5060994625091553,3.2764334678649902,2.024939775466919,2.7464287281036377,23.71
1990-08-03,4.011205196380615,5.16917085647583,3.4469239711761475,3.320314645767212,1.9982373714447021,2.8403241634368896,23.79
1990-08-06,4.096147060394287,5.2101945877075195,3.668828248977661,3.320314645767212,1.9448338747024536,2.8872721195220947,28.73
1990-08-07,4.075153827667236,5.160966396331787,3.6096556186676025,3.364194393157959,1.8469243049621582,2.8872721195220947,29.6
1990-08-08,3.9510855674743652,5.046096324920654,3.4469239711761475,3.539715528488159,1.8914285898208618,2.863797426223755,26.19
1990-08-09,3.9606282711029053,5.046096324920654,3.387751340866089,3.5543456077575684,1.869175672531128,2.816850423812866,25.69
1990-08-10,3.9415414333343506,5.119943141937256,3.4913041591644287,3.437330722808838,1.815771222114563,2.7699038982391357,26.38
1990-08-13,3.998802661895752,5.128147602081299,3.4173357486724854,3.451958179473877,1.8380228281021118,2.7699038982391357,27.07
1990-08-14,3.989259719848633,5.111736297607422,3.4173357486724854,3.4311602115631104,1.8246711492538452,2.816850423812866,26.7
1990-08-15,3.970172643661499,5.0953264236450195,3.3729562759399414,3.4163079261779785,1.7935192584991455,2.816850423812866,26.54
1990-08-16,3.9510855674743652,5.087121963500977,3.4469239711761475,3.4163079261779785,1.7668159008026123,2.793376922607422,27.4
1990-08-17,3.979717254638672,5.160966396331787,3.476511240005493,3.356894016265869,1.771267056465149,2.8403241634368896,28.65
1990-08-20,4.027433395385742,5.251222610473633,3.5060994625091553,3.371748208999634,1.7829431295394897,2.9576926231384277,28.63
1990-08-21,3.9606282711029053,5.136351585388184,3.3729562759399414,3.32718825340271,1.773960828781128,3.0629827976226807,28.46
1990-08-22,3.922454357147217,5.160966396331787,3.4025447368621826,3.342041254043579,1.764979600906372,3.1586997509002686,30.52
1990-08-23,3.78884220123291,4.964045524597168,3.254605531692505,3.238065481185913,1.6841408014297485,3.134772539138794,31.67
1990-08-24,3.731581449508667,4.8737897872924805,3.254605531692505,3.1340935230255127,1.7515066862106323,3.1586997509002686,31.1
1990-08-27,3.78884220123291,4.890198707580566,3.239813804626465,3.178652048110962,1.773960828781128,3.110842704772949,27.36
1990-08-28,3.827017307281494,4.964045524597168,3.2989883422851562,3.1935060024261475,1.7964167594909668,3.086914539337158,27.73
1990-08-29,3.8079288005828857,5.037891387939453,3.2841954231262207,3.178652048110962,1.791925311088562,3.2544193267822266,26.15
1990-08-30,3.731581449508667,4.93942928314209,3.2841954231262207,3.1340935230255127,1.7829431295394897,3.2065610885620117,26.96
1990-08-31,3.8174731731414795,4.9804558753967285,3.3581624031066895,3.044969320297241,1.7559967041015625,3.2065610885620117,27.45
1990-09-04,3.827017307281494,4.9804558753967285,3.32857608795166,3.0301153659820557,1.7380330562591553,3.2544193267822266,29.3
1990-09-05,3.884279727935791,5.0953264236450195,3.4025447368621826,3.074678659439087,1.7964167594909668,3.2783496379852295,30.0
1990-09-06,3.8461031913757324,5.103533744812012,3.43213152885437,3.044969320297241,1.7964167594909668,3.1586997509002686,31.51
1990-09-07,3.884279727935791,5.119943141937256,3.4173357486724854,3.1043860912323,1.7874349355697632,3.2065610885620117,30.09
1990-09-10,3.8461031913757324,5.037891387939453,3.3581624031066895,3.0301153659820557,1.8143794536590576,3.2065610885620117,30.83
1990-09-11,3.884279727935791,4.996865749359131,3.2841954231262207,3.000410795211792,1.791925311088562,3.3022799491882324,30.29
1990-09-12,3.922454357147217,5.062504768371582,3.3433682918548584,3.0152626037597656,1.7829431295394897,3.3022799491882324,30.85
1990-09-13,3.8747353553771973,4.988663196563721,3.3729562759399414,3.0152626037597656,1.7065953016281128,3.3022799491882324,31.2
1990-09-14,3.922454357147217,4.9804558753967285,3.4025447368621826,2.970703601837158,1.6886323690414429,3.2065610885620117,31.79
1990-09-17,3.9415414333343506,5.0953264236450195,3.4617185592651367,3.044969320297241,1.6616865396499634,3.1586997509002686,33.73
1990-09-18,3.912911891937256,5.0953264236450195,3.476511240005493,3.0598244667053223,1.679648756980896,3.134772539138794,33.48
1990-09-19,3.912911891937256,5.046096324920654,3.4617185592651367,3.0301153659820557,1.7155776023864746,3.1586997509002686,33.18
1990-09-20,3.9033701419830322,5.046096324920654,3.4173357486724854,2.9855566024780273,1.6706677675247192,3.086914539337158,34.44
